Title,Title20,Title29,ISSN,EISSN,Category name
SOCIAL THEORY & HEALTH,SOC THEOR HEALTH,SOC THEORY HEALTH,1477-8211,1477-822X,"SOCIAL SCIENCES, GENERAL"
SOCIAL WORK,SOC WORK,SOC WORK,0037-8046,1545-6846,"SOCIAL SCIENCES, GENERAL"
SOCIAL WORK IN HEALTH CARE,SOC WORK HEALTH CARE,SOC WORK HEALTH CARE,0098-1389,1541-034X,"SOCIAL SCIENCES, GENERAL"
SOCIAL WORK IN PUBLIC HEALTH,SOC WORK PUBLIC HLTH,SOC WORK PUBLIC HEALTH,1937-1918,1937-190X,"SOCIAL SCIENCES, GENERAL"
SOCIAL WORK RESEARCH,SOC WORK RES,SOC WORK RES,1070-5309,1545-6838,"SOCIAL SCIENCES, GENERAL"
SOCIETY,SOCIETY,SOCIETY,0147-2011,1936-4725,"SOCIAL SCIENCES, GENERAL"
SOCIETY & ANIMALS,SOC ANIM,SOC ANIM,1063-1119,1568-5306,"SOCIAL SCIENCES, GENERAL"
SOCIETY & NATURAL RESOURCES,SOC NATUR RESOUR,SOC NATUR RESOUR,0894-1920,1521-0723,"SOCIAL SCIENCES, GENERAL"
SOCIETY AND MENTAL HEALTH,SOC MENT HEALTH,SOC MENT HEALTH,2156-8693,2156-8731,"SOCIAL SCIENCES, GENERAL"
SOCIOBIOLOGY,SOCIOBIOLOGY,SOCIOBIOLOGY,0361-6525,,PLANT & ANIMAL SCIENCE
SOCIO-ECONOMIC PLANNING SCIENCES,SOCIO-ECON PLAN SCI,SOCIO-ECON PLAN SCI,0038-0121,1873-6041,ECONOMICS & BUSINESS
SOCIO-ECONOMIC REVIEW,SOCIO-ECON REV,SOCIO-ECON REV,1475-1461,1475-147X,"SOCIAL SCIENCES, GENERAL"
SOCIOLOGIA,SOCIOLOGIA-BRATISLAV,SOCIOLOGIA,0049-1225,1336-8613,"SOCIAL SCIENCES, GENERAL"
SOCIOLOGIA RURALIS,SOCIOL RURALIS,SOCIOL RURALIS,0038-0199,1467-9523,"SOCIAL SCIENCES, GENERAL"
SOCIOLOGICAL FORUM,SOCIOL FORUM,SOCIOL FORUM,0884-8971,1573-7861,"SOCIAL SCIENCES, GENERAL"
SOCIOLOGICAL INQUIRY,SOCIOL INQ,SOCIOL INQ,0038-0245,1475-682X,"SOCIAL SCIENCES, GENERAL"
SOCIOLOGICAL METHODS & RESEARCH,SOCIOL METHOD RES,SOCIOL METHOD RES,0049-1241,1552-8294,"SOCIAL SCIENCES, GENERAL"
SOCIOLOGICAL PERSPECTIVES,SOCIOL PERSPECT,SOCIOL PERSPECT,0731-1214,1533-8673,"SOCIAL SCIENCES, GENERAL"
SOCIOLOGICAL QUARTERLY,SOCIOL QUART,SOCIOL QUART,0038-0253,1533-8525,"SOCIAL SCIENCES, GENERAL"
SOCIOLOGICAL RESEARCH ONLINE,SOCIOL RES ONLINE,SOCIOL RES ONLINE,1360-7804,1360-7804,"SOCIAL SCIENCES, GENERAL"
SOCIOLOGICAL REVIEW,SOCIOL REV,SOCIOL REV,0038-0261,1467-954X,"SOCIAL SCIENCES, GENERAL"
SOCIOLOGICAL SCIENCE,SOCIOL SCI,SOCIOL SCI,****-****,2330-6696,"SOCIAL SCIENCES, GENERAL"
SOCIOLOGICAL SPECTRUM,SOCIOL SPECTRUM,SOCIOL SPECTRUM,0273-2173,1521-0707,"SOCIAL SCIENCES, GENERAL"
SOCIOLOGICAL THEORY,SOCIOL THEOR,SOCIOLOG THEOR,0735-2751,1467-9558,"SOCIAL SCIENCES, GENERAL"
SOCIOLOGICAL THEORY AND METHODS,SOCIOL THEOR METHOD,SOCIOL THEORY METHODS,0913-1442,,"SOCIAL SCIENCES, GENERAL"
SOCIOLOGICKY CASOPIS-CZECH SOCIOLOGICAL REVIEW,SOCIOL CAS,SOCIOL CAS,0038-0288,2336-128X,"SOCIAL SCIENCES, GENERAL"
SOCIOLOGIE DU TRAVAIL,SOCIOL TRAV,SOCIOL TRAV,0038-0296,1777-5701,"SOCIAL SCIENCES, GENERAL"
SOCIOLOGISK FORSKNING,SOCIOL FORSKNIN,SOCIOL FORSKN,0038-0342,0038-0342,"SOCIAL SCIENCES, GENERAL"
SOCIOLOGUS,SOCIOLOGUS,SOCIOLOGUS,0038-0377,1865-5106,"SOCIAL SCIENCES, GENERAL"
SOCIOLOGY COMPASS,SOCIOL COMPASS,SOCIOL COMPASS,1751-9020,1751-9020,"SOCIAL SCIENCES, GENERAL"
SOCIOLOGY OF EDUCATION,SOCIOL EDUC,SOCIOL EDUC,0038-0407,1939-8573,"SOCIAL SCIENCES, GENERAL"
SOCIOLOGY OF HEALTH & ILLNESS,SOCIOL HEALTH ILL,SOCIOL HEALTH ILL,0141-9889,1467-9566,"SOCIAL SCIENCES, GENERAL"
SOCIOLOGY OF RACE AND ETHNICITY,SOCIOL RACE ETHNIC,SOCIOL RACE ETHNIC,2332-6492,2332-6505,"SOCIAL SCIENCES, GENERAL"
SOCIOLOGY OF RELIGION,SOCIOL RELIG,SOCIOL RELIG,1069-4404,1759-8818,"SOCIAL SCIENCES, GENERAL"
SOCIOLOGY OF SPORT JOURNAL,SOCIOL SPORT J,SOCIOL SPORT J,0741-1235,1543-2785,"SOCIAL SCIENCES, GENERAL"
SOCIOLOGY-THE JOURNAL OF THE BRITISH SOCIOLOGICAL ASSOCIATION,SOCIOLOGY,SOCIOLOGY,0038-0385,1469-8684,"SOCIAL SCIENCES, GENERAL"
SOFT COMPUTING,SOFT COMPUT,SOFT COMPUT,1432-7643,1433-7479,COMPUTER SCIENCE
SOFT MATERIALS,SOFT MATER,SOFT MATER,1539-445X,1539-4468,MATERIALS SCIENCE
SOFT MATTER,SOFT MATTER,SOFT MATTER,1744-683X,1744-6848,MATERIALS SCIENCE
SOFT ROBOTICS,SOFT ROBOT,SOFT ROBOT,2169-5172,2169-5180,ENGINEERING
SOFTWARE AND SYSTEMS MODELING,SOFTW SYST MODEL,SOFTW SYST MODEL,1619-1366,1619-1374,COMPUTER SCIENCE
SOFTWARE QUALITY JOURNAL,SOFTWARE QUAL J,SOFTW QUAL J,0963-9314,1573-1367,COMPUTER SCIENCE
SOFTWARE TESTING VERIFICATION & RELIABILITY,SOFTW TEST VERIF REL,SOFTW TEST VERIF RELIAB,0960-0833,1099-1689,COMPUTER SCIENCE
SOFTWARE-PRACTICE & EXPERIENCE,SOFTWARE PRACT EXPER,SOFTWARE-PRACT EXP,0038-0644,1097-024X,COMPUTER SCIENCE
SOFTWAREX,SOFTWAREX,SOFTWAREX,2352-7110,2352-7110,COMPUTER SCIENCE
SOIL,SOIL-GERMANY,SOIL,2199-3971,2199-398X,AGRICULTURAL SCIENCES
SOIL & SEDIMENT CONTAMINATION,SOIL SEDIMENT CONTAM,SOIL SEDIMENT CONTAM,1532-0383,1549-7887,ENVIRONMENT/ECOLOGY
SOIL & TILLAGE RESEARCH,SOIL TILL RES,SOIL TILL RES,0167-1987,1879-3444,AGRICULTURAL SCIENCES
SOIL AND WATER RESEARCH,SOIL WATER RES,SOIL WATER RES,1801-5395,1805-9384,AGRICULTURAL SCIENCES
SOIL BIOLOGY & BIOCHEMISTRY,SOIL BIOL BIOCHEM,SOIL BIOL BIOCHEM,0038-0717,1879-3428,AGRICULTURAL SCIENCES
SOIL DYNAMICS AND EARTHQUAKE ENGINEERING,SOIL DYN EARTHQ ENG,SOIL DYNAM EARTHQUAKE ENG,0267-7261,1879-341X,ENGINEERING
SOIL MECHANICS AND FOUNDATION ENGINEERING,SOIL MECH FOUND ENG+,SOIL MECH FOUND ENG,0038-0741,1573-9279,GEOSCIENCES
SOIL RESEARCH,SOIL RES,SOIL RES,1838-675X,1838-6768,AGRICULTURAL SCIENCES
SOIL SCIENCE,SOIL SCI,SOIL SCI,0038-075X,1538-9243,AGRICULTURAL SCIENCES
SOIL SCIENCE AND PLANT NUTRITION,SOIL SCI PLANT NUTR,SOIL SCI PLANT NUTR,0038-0768,1747-0765,AGRICULTURAL SCIENCES
SOIL SCIENCE SOCIETY OF AMERICA JOURNAL,SOIL SCI SOC AM J,SOIL SCI SOC AMER J,0361-5995,1435-0661,AGRICULTURAL SCIENCES
SOIL USE AND MANAGEMENT,SOIL USE MANAGE,SOIL USE MANAGE,0266-0032,1475-2743,AGRICULTURAL SCIENCES
SOILS AND FOUNDATIONS,SOILS FOUND,SOILS FOUND,0038-0806,,GEOSCIENCES
SOLA,SOLA,SOLA,1349-6476,1349-6476,GEOSCIENCES
SOLAR ENERGY,SOL ENERGY,SOLAR ENERG,0038-092X,1471-1257,ENGINEERING
SOLAR ENERGY MATERIALS AND SOLAR CELLS,SOL ENERG MAT SOL C,SOLAR ENERG MATER SOLAR CELLS,0927-0248,1879-3398,MATERIALS SCIENCE
SOLAR PHYSICS,SOL PHYS,SOL PHYS,0038-0938,1573-093X,SPACE SCIENCE
SOLAR RRL,SOL RRL,SOL RRL,2367-198X,2367-198X,MATERIALS SCIENCE
SOLAR SYSTEM RESEARCH,SOLAR SYST RES+,SOLAR SYST RES,0038-0946,1608-3423,SPACE SCIENCE
SOLDAGEM & INSPECAO,SOLDAGEM INSP,SOLDAGEM INSP,0104-9224,1980-6973,MATERIALS SCIENCE
SOLDERING & SURFACE MOUNT TECHNOLOGY,SOLDER SURF MT TECH,SOLDER SURF MT TECHNOL,0954-0911,1758-6836,ENGINEERING
SOLID EARTH,SOLID EARTH,SOLID EARTH,1869-9510,1869-9529,GEOSCIENCES
SOLID FUEL CHEMISTRY,SOLID FUEL CHEM+,SOLID FUEL CHEM,0361-5219,1934-8029,CHEMISTRY
SOLID STATE COMMUNICATIONS,SOLID STATE COMMUN,SOLID STATE COMMUN,0038-1098,1879-2766,PHYSICS
SOLID STATE IONICS,SOLID STATE IONICS,SOLID STATE IONICS,0167-2738,1872-7689,PHYSICS
SOLID STATE NUCLEAR MAGNETIC RESONANCE,SOLID STATE NUCL MAG,SOLID STATE NUCL MAGN RESON,0926-2040,1527-3326,CHEMISTRY
SOLID STATE SCIENCES,SOLID STATE SCI,SOLID STATE SCI,1293-2558,1873-3085,PHYSICS
SOLID STATE TECHNOLOGY,SOLID STATE TECHNOL,SOLID STATE TECHNOL,0038-111X,,ENGINEERING
SOLID-STATE ELECTRONICS,SOLID STATE ELECTRON,SOLID STATE ELECTRON,0038-1101,1879-2405,PHYSICS
SOLVENT EXTRACTION AND ION EXCHANGE,SOLVENT EXTR ION EXC,SOLVENT EXTR ION EXCH,0736-6299,1532-2262,CHEMISTRY
SOLVENT EXTRACTION RESEARCH AND DEVELOPMENT-JAPAN,SOLVENT EXTR RES DEV,SOLVENT EXTR RES DEV-JPN,1341-7215,1341-7215,CHEMISTRY
SOMATOSENSORY AND MOTOR RESEARCH,SOMATOSENS MOT RES,SOMATOSENS MOTOR RES,0899-0220,1369-1651,NEUROSCIENCE & BEHAVIOR
SORT-STATISTICS AND OPERATIONS RESEARCH TRANSACTIONS,SORT-STAT OPER RES T,SORT-STAT OPER RES TRANS,1696-2281,2013-8830,MATHEMATICS
SOTSIOLOGICHESKIE ISSLEDOVANIYA,SOTSIOL ISSLED+,SOTSIOL ISSLED,0132-1625,0132-1625,"SOCIAL SCIENCES, GENERAL"
SOULS,SOULS,SOULS,1099-9949,1548-3843,"SOCIAL SCIENCES, GENERAL"
SOUND AND VIBRATION,SOUND VIB,SOUND VIB,1541-0161,1541-0161,ENGINEERING
SOUTH AFRICAN GEOGRAPHICAL JOURNAL,S AFR GEOGR J,S AFR GEOGR J,0373-6245,2151-2418,"SOCIAL SCIENCES, GENERAL"
SOUTH AFRICAN HISTORICAL JOURNAL,S AFR HIST J,S AFR HIST J,0258-2473,1726-1686,"SOCIAL SCIENCES, GENERAL"
SOUTH AFRICAN JOURNAL FOR RESEARCH IN SPORT PHYSICAL EDUCATION AND RECREATION,S AFR J RES SPORT PH,S AFR J RES SPORT PHYS EDUC R,0379-9069,,"SOCIAL SCIENCES, GENERAL"
SOUTH AFRICAN JOURNAL OF ANIMAL SCIENCE,S AFR J ANIM SCI,S AFR J ANIM SCI,0375-1589,2221-4062,AGRICULTURAL SCIENCES
SOUTH AFRICAN JOURNAL OF BOTANY,S AFR J BOT,S AFR J BOT,0254-6299,1727-9321,PLANT & ANIMAL SCIENCE
SOUTH AFRICAN JOURNAL OF BUSINESS MANAGEMENT,S AFR J BUS MANAG,S AFR J BUS MANAG,2078-5585,2078-5976,ECONOMICS & BUSINESS
SOUTH AFRICAN JOURNAL OF CHEMISTRY-SUID-AFRIKAANSE TYDSKRIF VIR CHEMIE,S AFR J CHEM-S-AFR T,S AFR J CHEM-S-AFR TYDSKR CH,0379-4350,1996-840X,CHEMISTRY
SOUTH AFRICAN JOURNAL OF ECONOMIC AND MANAGEMENT SCIENCES,S AFR J ECON MANAG S,S AFR J ECON MANAG SCI,2222-3436,2222-3436,ECONOMICS & BUSINESS
SOUTH AFRICAN JOURNAL OF ECONOMICS,S AFR J ECON,S AFR J ECON,0038-2280,1813-6982,ECONOMICS & BUSINESS
SOUTH AFRICAN JOURNAL OF EDUCATION,S AFR J EDUC,S AFR J EDUC,0256-0100,2076-3433,"SOCIAL SCIENCES, GENERAL"
SOUTH AFRICAN JOURNAL OF ENOLOGY AND VITICULTURE,S AFR J ENOL VITIC,S AFR J ENOL VITIC,0253-939X,2224-7904,AGRICULTURAL SCIENCES
SOUTH AFRICAN JOURNAL OF GEOLOGY,S AFR J GEOL,S AFR J GEOL,1012-0750,1996-8590,GEOSCIENCES
SOUTH AFRICAN JOURNAL OF INDUSTRIAL ENGINEERING,S AFR J IND ENG,S AFR J IND ENG,2224-7890,2224-7890,ENGINEERING
SOUTH AFRICAN JOURNAL OF PSYCHIATRY,SAJP-S AFR J PSYCHI,SAJP-S AFR J PSYCHIATRY,1608-9685,1608-9685,PSYCHIATRY/PSYCHOLOGY
SOUTH AFRICAN JOURNAL OF PSYCHOLOGY,S AFR J PSYCHOL,S AFR J PSYCHOL,0081-2463,2078-208X,PSYCHIATRY/PSYCHOLOGY
SOUTH AFRICAN JOURNAL OF SCIENCE,S AFR J SCI,S AFR J SCI,0038-2353,1996-7489,MULTIDISCIPLINARY
SOUTH AFRICAN JOURNAL OF SURGERY,S AFR J SURG,S AFR J SURG,0038-2361,2078-5151,CLINICAL MEDICINE
SOUTH AFRICAN JOURNAL OF WILDLIFE RESEARCH,S AFR J WILDL RES,S AFR J WILDL RES,0379-4369,1996-8477,PLANT & ANIMAL SCIENCE
SOUTH AFRICAN JOURNAL ON HUMAN RIGHTS,S AFR J HUM RIGHTS,S AFR J HUM RIGHTS,0258-7203,1996-2126,"SOCIAL SCIENCES, GENERAL"
SOUTH AMERICAN JOURNAL OF HERPETOLOGY,S AM J HERPETOL,SOUTH AM J HERPETOL,1808-9798,,PLANT & ANIMAL SCIENCE
SOUTH ASIA-JOURNAL OF SOUTH ASIAN STUDIES,S ASIA,S ASIA,0085-6401,1479-0270,"SOCIAL SCIENCES, GENERAL"
SOUTH ATLANTIC QUARTERLY,S ATL Q,S ATL Q,0038-2876,1527-8026,"SOCIAL SCIENCES, GENERAL"
SOUTH EUROPEAN SOCIETY AND POLITICS,S EUR SOC POLIT,S EUR SOC POLIT,1360-8746,1743-9612,"SOCIAL SCIENCES, GENERAL"
SOUTHEAST ASIAN JOURNAL OF TROPICAL MEDICINE AND PUBLIC HEALTH,SE ASIAN J TROP MED,SE ASIAN J TROP MED PUB HEALT,0125-1562,0125-1562,"SOCIAL SCIENCES, GENERAL"
SOUTHEAST EUROPEAN AND BLACK SEA STUDIES,SE EUR BLACK SEA STU,SE EUR BLACK SEA STUD,1468-3857,1743-9639,"SOCIAL SCIENCES, GENERAL"
SOUTHEASTERN NATURALIST,SOUTHEAST NAT,SOUTHEAST NAT,1528-7092,1938-5412,ENVIRONMENT/ECOLOGY
SOUTHERN AFRICAN JOURNAL OF HIV MEDICINE,S AFR J HIV MED,SOUTH AFR J HIV MED,1608-9693,2078-6751,IMMUNOLOGY
SOUTHERN AFRICAN LINGUISTICS AND APPLIED LANGUAGE STUDIES,SO AFR LINGUIST APPL,SOUTH AFR LINGUIST APPL LANG,1607-3614,1727-9461,"SOCIAL SCIENCES, GENERAL"
SOUTHERN CALIFORNIA LAW REVIEW,SOUTH CALIF LAW REV,SOUTHERN CAL LAW REV,0038-3910,0038-3910,"SOCIAL SCIENCES, GENERAL"
SOUTHERN ECONOMIC JOURNAL,SOUTH ECON J,SOUTHERN ECON J,0038-4038,2325-8012,ECONOMICS & BUSINESS
SOUTHERN FORESTS,,,,,PLANT & ANIMAL SCIENCE
SOUTHERN FORESTS-A JOURNAL OF FOREST SCIENCE,SOUTH FORESTS,SOUTH FORESTS,2070-2620,2070-2639,PLANT & ANIMAL SCIENCE
SOUTHERN JOURNAL OF APPLIED FORESTRY,SOUTH J APPL FOR,SOUTH J APPL FOR,0148-4419,,PLANT & ANIMAL SCIENCE
SOUTHERN MEDICAL JOURNAL,SOUTH MED J,SOUTHERN MED J,0038-4348,1541-8243,CLINICAL MEDICINE
SOUTHWESTERN ENTOMOLOGIST,SOUTHWEST ENTOMOL,SOUTHWEST ENTOMOLOGIST,0147-1724,2162-2647,PLANT & ANIMAL SCIENCE
SOUTHWESTERN NATURALIST,SOUTHWEST NAT,SOUTHWEST NATURALIST,0038-4909,1943-6262,ENVIRONMENT/ECOLOGY
SOZIALE WELT-ZEITSCHRIFT FUR SOZIALWISSENSCHAFTLICHE FORSCHUNG UND PRAXIS,SOZ WELT,SOZIALE WELT,0038-6073,0038-6073,"SOCIAL SCIENCES, GENERAL"
SPACE AND CULTURE,SPACE CULT,SPACE CULT,1206-3312,1552-8308,"SOCIAL SCIENCES, GENERAL"
SPACE POLICY,SPACE POLICY,SPACE POLICY,0265-9646,1879-338X,"SOCIAL SCIENCES, GENERAL"
SPACE SCIENCE REVIEWS,SPACE SCI REV,SPACE SCI REV,0038-6308,1572-9672,SPACE SCIENCE
SPACE WEATHER-THE INTERNATIONAL JOURNAL OF RESEARCH AND APPLICATIONS,SPACE WEATHER,SPACE WEATHER,****-****,1542-7390,SPACE SCIENCE
SPANISH IN CONTEXT,SPAN CONTEXT,SPAN CONTEXT,1571-0718,1571-0726,"SOCIAL SCIENCES, GENERAL"
SPANISH JOURNAL OF AGRICULTURAL RESEARCH,SPAN J AGRIC RES,SPAN J AGRIC RES,1695-971X,2171-9292,AGRICULTURAL SCIENCES
SPANISH JOURNAL OF FINANCE AND ACCOUNTING-REVISTA ESPANOLA DE FINANCIACION Y CONTABILIDA,,,,,ECONOMICS & BUSINESS
SPANISH JOURNAL OF FINANCE AND ACCOUNTING-REVISTA ESPANOLA DE FINANCIACION Y CONTABILIDAD,SPAN J FINANC ACCOUN,SPAN J FINANC ACCOUNT,0210-2412,2332-0753,ECONOMICS & BUSINESS
SPANISH JOURNAL OF PSYCHOLOGY,SPAN J PSYCHOL,SPAN J PSYCHOL,1138-7416,1988-2904,PSYCHIATRY/PSYCHOLOGY
SPATIAL COGNITION AND COMPUTATION,SPAT COGN COMPUT,SPAT COGN COMPUT,1387-5868,1542-7633,PSYCHIATRY/PSYCHOLOGY
SPATIAL ECONOMIC ANALYSIS,SPAT ECON ANAL,SPAT ECON ANAL,1742-1772,1742-1780,ECONOMICS & BUSINESS
SPATIAL STATISTICS,SPAT STAT-NETH,SPAT STAT,2211-6753,,MATHEMATICS
SPE DRILLING & COMPLETION,SPE DRILL COMPLETION,SPE DRILL COMPLETION,1064-6671,1930-0204,GEOSCIENCES
SPE JOURNAL,SPE J,SPE J,1086-055X,1930-0220,ENGINEERING
SPE PRODUCTION & OPERATIONS,SPE PROD OPER,SPE PROD OPER,1930-1855,1930-1863,GEOSCIENCES
SPE RESERVOIR EVALUATION & ENGINEERING,SPE RESERV EVAL ENG,SPE RESERV EVAL ENG,1094-6470,1930-0212,GEOSCIENCES
SPECTROCHIMICA ACTA PART A-MOLECULAR AND BIOMOLECULAR SPECTROSCOPY,SPECTROCHIM ACTA A,SPECTROCHIM ACTA PT A-MOL BIO,1386-1425,1873-3557,CHEMISTRY
SPECTROCHIMICA ACTA PART B-ATOMIC SPECTROSCOPY,SPECTROCHIM ACTA B,SPECTROCHIM ACTA PT B-AT SPEC,0584-8547,1873-3565,CHEMISTRY
SPECTROSCOPY,SPECTROSCOPY-US,SPECTROSCOPY,0887-6703,,CHEMISTRY
SPECTROSCOPY AND SPECTRAL ANALYSIS,SPECTROSC SPECT ANAL,SPECTROSC SPECTR ANAL,1000-0593,1000-0593,CHEMISTRY
SPECTROSCOPY LETTERS,SPECTROSC LETT,SPECTROSC LETT,0038-7010,1532-2289,CHEMISTRY
SPECTROSCOPY-AN INTERNATIONAL JOURNAL,SPECTROSC-INT J,SPECTROSC-INT J,0712-4813,,CHEMISTRY
SPEECH COMMUNICATION,SPEECH COMMUN,SPEECH COMMUN,0167-6393,1872-7182,COMPUTER SCIENCE
SPEKTRUM DER AUGENHEILKUNDE,SPEKTRUM AUGENHEILKD,SPEKTRUM AUGENHEILKD,0930-4282,1613-7523,CLINICAL MEDICINE
SPIN,SPIN-SINGAPORE,SPIN,2010-3247,2010-3255,PHYSICS
SPINAL CORD,SPINAL CORD,SPINAL CORD,1362-4393,1476-5624,NEUROSCIENCE & BEHAVIOR
SPINE,SPINE,SPINE,0362-2436,1528-1159,NEUROSCIENCE & BEHAVIOR
SPINE JOURNAL,SPINE J,SPINE J,1529-9430,1878-1632,NEUROSCIENCE & BEHAVIOR
SPIXIANA,SPIXIANA,SPIXIANA,0341-8391,,PLANT & ANIMAL SCIENCE
SPORT EDUCATION AND SOCIETY,SPORT EDUC SOC,SPORT EDUC SOC,1357-3322,1470-1243,"SOCIAL SCIENCES, GENERAL"
SPORT EXERCISE AND PERFORMANCE PSYCHOLOGY,SPORT EXERC PERFORM,SPORT EXERC PERFORM PSYCHOL,2157-3905,2157-3913,PSYCHIATRY/PSYCHOLOGY
SPORT IN SOCIETY,SPORT SOC,SPORT SOC,1743-0437,1743-0445,"SOCIAL SCIENCES, GENERAL"
SPORT MANAGEMENT REVIEW,SPORT MANAG REV,SPORT MANAG REV,1441-3523,1839-2083,"SOCIAL SCIENCES, GENERAL"
SPORT MARKETING QUARTERLY,SPORT MARKET Q,SPORT MARK Q,1061-6934,1557-2528,ECONOMICS & BUSINESS
SPORT PSYCHOLOGIST,SPORT PSYCHOL,SPORT PSYCHOL,0888-4781,1543-2793,PSYCHIATRY/PSYCHOLOGY
SPORTS BIOMECHANICS,SPORT BIOMECH,SPORT BIOMECH,1476-3141,1752-6116,CLINICAL MEDICINE
SPORTS HEALTH-A MULTIDISCIPLINARY APPROACH,SPORTS HEALTH,SPORTS HEALTH,1941-7381,1941-0921,CLINICAL MEDICINE
SPORTS MEDICINE,SPORTS MED,SPORT MED,0112-1642,1179-2035,CLINICAL MEDICINE
SPORTS MEDICINE AND ARTHROSCOPY REVIEW,SPORTS MED ARTHROSC,SPORT MED ARTHROSCOPY,1062-8592,1538-1951,CLINICAL MEDICINE
SPORTS MEDICINE-OPEN,SPORTS MED-OPEN,SPORTS MED-OPEN,2199-1170,2198-9761,CLINICAL MEDICINE
SPORTVERLETZUNG-SPORTSCHADEN,SPORTVERLETZ SPORTSC,SPORTVERLETZ SPORTSCHADEN,0932-0555,1439-1236,CLINICAL MEDICINE
SPRACHE-STIMME-GEHOR,SPRACHE-STIMME-GEHOR,SPRACHE-STIMME-GEHOR,0342-0477,1439-1260,CLINICAL MEDICINE
SPRINGERPLUS,SPRINGERPLUS,SPRINGERPLUS,2193-1801,2193-1801,MULTIDISCIPLINARY
SRPSKI ARHIV ZA CELOKUPNO LEKARSTVO,SRP ARK CELOK LEK,SRP ARK CELOK LEK,0370-8179,0370-8179,CLINICAL MEDICINE
SSM-POPULATION HEALTH,SSM-POPUL HLTH,SSM-POPUL HEALTH,2352-8273,2352-8273,CLINICAL MEDICINE
ST PETERSBURG MATHEMATICAL JOURNAL,ST PETERSB MATH J+,ST PETERSB MATH J,1061-0022,1547-7371,MATHEMATICS
STAHL UND EISEN,STAHL EISEN,STAHL EISEN,0340-4803,0340-4803,MATERIALS SCIENCE
STAHLBAU,STAHLBAU,STAHLBAU,0038-9145,1437-1049,ENGINEERING
STANDARDS IN GENOMIC SCIENCES,STAND GENOMIC SCI,STAND GENOMIC SCI,1944-3277,,MOLECULAR BIOLOGY & GENETICS
STANFORD JOURNAL OF INTERNATIONAL LAW,STANFORD J INT LAW,STANFORD J INT LAW,0731-5082,,"SOCIAL SCIENCES, GENERAL"
STANFORD LAW REVIEW,STANFORD LAW REV,STANFORD LAW REV,0038-9765,,"SOCIAL SCIENCES, GENERAL"
STARCH-STARKE,STARCH-STARKE,STARCH,0038-9056,1521-379X,AGRICULTURAL SCIENCES
STAT,STAT-US,STAT,2049-1573,2049-1573,MATHEMATICS
STATA JOURNAL,STATA J,STATA J,1536-867X,1536-8734,"SOCIAL SCIENCES, GENERAL"
STATE POLITICS & POLICY QUARTERLY,STATE POLIT POLICY Q,STATE POLIT POLICY Q,1532-4400,1946-1607,"SOCIAL SCIENCES, GENERAL"
STATISTICA NEERLANDICA,STAT NEERL,STAT NEERL,0039-0402,1467-9574,MATHEMATICS
STATISTICA SINICA,STAT SINICA,STAT SINICA,1017-0405,1996-8507,MATHEMATICS
STATISTICAL ANALYSIS AND DATA MINING,STAT ANAL DATA MIN,STAT ANAL DATA MIN,1932-1864,1932-1872,COMPUTER SCIENCE
STATISTICAL APPLICATIONS IN GENETICS AND MOLECULAR BIOLOGY,STAT APPL GENET MOL,STAT APPL GENET MOL BIOL,2194-6302,1544-6115,MOLECULAR BIOLOGY & GENETICS
STATISTICAL METHODOLOGY,STAT METHODOL,STAT METHODOL,1572-3127,1878-0954,MATHEMATICS
STATISTICAL METHODS AND APPLICATIONS,STAT METHOD APPL-GER,STAT METHOD APPL,1618-2510,1613-981X,MATHEMATICS
STATISTICAL METHODS IN MEDICAL RESEARCH,STAT METHODS MED RES,STAT METHODS MED RES,0962-2802,1477-0334,MATHEMATICS
STATISTICAL MODELLING,STAT MODEL,STAT MODEL,1471-082X,1477-0342,MATHEMATICS
STATISTICAL PAPERS,STAT PAP,STAT PAP,0932-5026,1613-9798,MATHEMATICS
STATISTICAL SCIENCE,STAT SCI,STAT SCI,0883-4237,2168-8745,MATHEMATICS
STATISTICS,STATISTICS-ABINGDON,STATISTICS,0233-1888,1029-4910,MATHEMATICS
STATISTICS & PROBABILITY LETTERS,STAT PROBABIL LETT,STAT PROBAB LETT,0167-7152,1879-2103,MATHEMATICS
STATISTICS AND COMPUTING,STAT COMPUT,STAT COMPUT,0960-3174,1573-1375,COMPUTER SCIENCE
STATISTICS AND ITS INTERFACE,STAT INTERFACE,STAT INTERFACE,1938-7989,1938-7997,MATHEMATICS
STATISTICS IN BIOPHARMACEUTICAL RESEARCH,STAT BIOPHARM RES,STAT BIOPHARM RES,1946-6315,1946-6315,MATHEMATICS
STATISTICS IN MEDICINE,STAT MED,STAT MED,0277-6715,1097-0258,"SOCIAL SCIENCES, GENERAL"
STEEL AND COMPOSITE STRUCTURES,STEEL COMPOS STRUCT,STEEL COMPOS STRUCT,1229-9367,1598-6233,ENGINEERING
STEEL RESEARCH INTERNATIONAL,STEEL RES INT,STEEL RES INT,1611-3683,1869-344X,MATERIALS SCIENCE
STEM CELL REPORTS,STEM CELL REP,STEM CELL REP,2213-6711,2213-6711,MOLECULAR BIOLOGY & GENETICS
STEM CELL RESEARCH,STEM CELL RES,STEM CELL RES,1873-5061,1876-7753,MOLECULAR BIOLOGY & GENETICS
STEM CELL RESEARCH & THERAPY,STEM CELL RES THER,STEM CELL RES THER,****-****,1757-6512,MOLECULAR BIOLOGY & GENETICS
